Stkcd,聚类标签,Stknme
000002,2,万科A
000061,1,农产品
000063,2,中兴通讯
000069,1,华侨城A
000100,0,TCL科技
000333,0,美的集团
000513,1,丽珠集团
000625,2,长安汽车
000651,2,格力电器
000661,0,长春高新
000681,1,视觉中国
000723,2,美锦能源
000725,2,京东方A
000858,2,五粮液
000895,1,双汇发展
000910,1,大亚圣象
000937,1,冀中能源
000999,1,华润三九
001979,1,招商蛇口
002008,1,大族激光
002024,0,ST 易购
002065,0,东华软件
002142,1,宁波银行
002202,1,金风科技
002230,0,科大讯飞
002241,2,歌尔股份
002271,0,东方雨虹
002304,0,洋河股份
002368,1,太极股份
002371,2,北方华创
002387,1,维信诺
002415,2,海康威视
002460,2,赣锋锂业
002466,2,天齐锂业
002475,0,立讯精密
002594,2,比亚迪
003816,1,中国广核
300002,0,神州泰岳
300003,1,乐普医疗
300012,1,华测检测
300014,0,亿纬锂能
300015,2,爱尔眼科
300027,2,华谊兄弟
300037,1,新宙邦
300059,0,东方财富
300070,1,碧水源
300122,0,智飞生物
300124,1,汇川技术
300136,1,信维通信
300142,2,沃森生物
300166,0,东方国信
300199,2,翰宇药业
300215,1,电科院
300236,1,上海新阳
300298,1,三诺生物
300369,1,绿盟科技
300413,1,芒果超媒
300454,1,深信服
300467,1,迅游科技
300476,1,胜宏科技
300529,1,健帆生物
300628,1,亿联网络
300673,1,佩蒂股份
300676,0,华大基因
300750,2,宁德时代
300760,0,迈瑞医疗
300782,1,卓胜微
300800,1,力合科技
300896,0,爱美客
300999,2,金龙鱼
600000,1,浦发银行
600009,1,上海机场
600011,1,华能国际
600018,1,上港集团
600019,1,宝钢股份
600025,1,华能水电
600026,1,中远海能
600028,2,中国石化
600029,1,南方航空
600030,2,中信证券
600031,2,三一重工
600036,2,招商银行
600048,0,保利发展
600050,1,中国联通
600104,0,上汽集团
600111,2,北方稀土
600115,1,中国东航
600166,2,福田汽车
600196,2,复星医药
600198,1,大唐电信
600236,1,桂冠电力
600271,1,航天信息
600276,2,恒瑞医药
600340,0,华夏幸福
600346,1,恒力石化
600352,1,浙江龙盛
600406,1,国电南瑞
600438,2,通威股份
600483,1,福能股份
600511,1,国药股份
